category,interest,group_identifier
Adventure,Bungee Jumping,group104
Adventure,Bungee Jumping,group107
Adventure,Bungee Jumping,group125
Adventure,Bungee Jumping,group186
Adventure,Bungee Jumping,group205
Adventure,Bungee Jumping,group207
Adventure,Bungee Jumping,group241
Adventure,Bungee Jumping,group244
Adventure,Bungee Jumping,group252
Adventure,Bungee Jumping,group278
Adventure,Bungee Jumping,group280
Adventure,Bungee Jumping,group287
Adventure,Bungee Jumping,group288
Adventure,Bungee Jumping,group339
Adventure,Bungee Jumping,group348
Adventure,Bungee Jumping,group361
Adventure,Bungee Jumping,group362
Adventure,Bungee Jumping,group364
Adventure,Bungee Jumping,group386
Adventure,Bungee Jumping,group387
Adventure,Bungee Jumping,group408
Adventure,Bungee Jumping,group424
Adventure,Bungee Jumping,group431
Adventure,Bungee Jumping,group470
Adventure,Bungee Jumping,group482
Adventure,Bungee Jumping,group532
Adventure,Bungee Jumping,group565
Adventure,Bungee Jumping,group567
Adventure,Bungee Jumping,group585
Adventure,Bungee Jumping,group587
Adventure,Bungee Jumping,group588
Adventure,Bungee Jumping,group590
Adventure,Bungee Jumping,group595
Adventure,Bungee Jumping,group600
Adventure,Bungee Jumping,group615
Adventure,Bungee Jumping,group680
Adventure,Bungee Jumping,group716
Adventure,Bungee Jumping,group744
Adventure,Bungee Jumping,group850
Adventure,Bungee Jumping,group874
Adventure,Bungee Jumping,group890
Adventure,Bungee Jumping,group901
Adventure,Caving,group10
Adventure,Caving,group144
Adventure,Caving,group165
Adventure,Caving,group172
Adventure,Caving,group186
Adventure,Caving,group187
Adventure,Caving,group188
Adventure,Caving,group206
Adventure,Caving,group214
Adventure,Caving,group216
Adventure,Caving,group290
Adventure,Caving,group355
Adventure,Caving,group369
Adventure,Caving,group39
Adventure,Caving,group394
Adventure,Caving,group439
Adventure,Caving,group456
Adventure,Caving,group462
Adventure,Caving,group465
Adventure,Caving,group470
Adventure,Caving,group492
Adventure,Caving,group512
Adventure,Caving,group516
Adventure,Caving,group525
Adventure,Caving,group535
Adventure,Caving,group547
Adventure,Caving,group567
Adventure,Caving,group599
Adventure,Caving,group60
Adventure,Caving,group66
Adventure,Caving,group67
Adventure,Caving,group674
Adventure,Caving,group710
Adventure,Caving,group735
Adventure,Caving,group781
Adventure,Caving,group791
Adventure,Caving,group811
Adventure,Caving,group824
Adventure,Caving,group86
Adventure,Caving,group870
Adventure,Caving,group881
Adventure,Caving,group896
Adventure,Caving,group90
Adventure,Caving,group905
Adventure,Caving,group908
Adventure,Caving,group911
Adventure,Caving,group941
Adventure,Caving,group967
Adventure,Caving,group975
Adventure,Caving,group992
Adventure,Mountaineering,group106
Adventure,Mountaineering,group209
Adventure,Mountaineering,group222
